"trait_id";"experimentation";"fk_materiel_id";"madate";"station";"pos_deb_lat_dd";"pos_deb_long_dd";"pos_fin_lat_dd";"pos_fin_long_dd";"distance_chalutee";"duree";"nt";"pt";"nom";"nom_fr";"engin";"masse_eau";"salinite_classe";"systeme"
11894;"DCE";2;"2016-10-01 11:17:00";"10";49,1953;-0,166217;49,198217;-0,170517;467;10;1;NA;"Carcinus maenas";"Crabe vert";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;3;155;"Anguilla anguilla";"Anguille d'Europe";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;1;155;"Esox lucius";"Brochet du Nord";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;2;22;"Rutilus rutilus";"Gardon";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11885;"DCE";2;"2016-09-30 09:30:00";"1";49,299283;-0,088717;49,305367;-0,093;752;14;1;NA;"Engraulis encrasicolus";"Anchois";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;1;NA;"Pseudorasbora parva";"Pseudorasbora";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11885;"DCE";2;"2016-09-30 09:30:00";"1";49,299283;-0,088717;49,305367;-0,093;752;14;2;NA;"Atherina presbyter";"Prêtre";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;1;NA;"Abramis brama";"Brème d'eau douce";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11885;"DCE";2;"2016-09-30 09:30:00";"1";49,299283;-0,088717;49,305367;-0,093;752;14;1;NA;"Pomatoschistus microps";"Gobie tacheté";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;2;27;"Leuciscus leuciscus";"Vandoise";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11886;"DCE";2;"2016-09-30 09:52:00";"2";49,298933;-0,087717;49,306617;-0,089333;884;15;38;19;"Sprattus sprattus";"Sprat";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;5;16;"Platichthys flesus";"Flet d'Europe";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11886;"DCE";2;"2016-09-30 09:52:00";"2";49,298933;-0,087717;49,306617;-0,089333;884;15;6;22;"Dicentrarchus labrax";"Bar européen";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;1;NA;"Gasterosteus aculeatus";"Epinoche à trois épines";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11886;"DCE";2;"2016-09-30 09:52:00";"2";49,298933;-0,087717;49,306617;-0,089333;884;15;2;NA;"Syngnathus acus";"Syngnathe aiguille";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;1;NA;"Orconectes limosus";"Ecrevisse américaine";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11886;"DCE";2;"2016-09-30 09:52:00";"2";49,298933;-0,087717;49,306617;-0,089333;884;15;1;NA;"Pomatoschistus microps";"Gobie tacheté";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11895;"DCE";2;"2016-10-01 11:52:00";"11";49,188633;-0,163883;49,184467;-0,1643;491;10;7;NA;"Atyaephyra desmaresti,Palemon varians";"crevettes divers";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11886;"DCE";2;"2016-09-30 09:52:00";"2";49,298933;-0,087717;49,306617;-0,089333;884;15;14;NA;"Crangon crangon";"Crevette grise";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11894;"DCE";2;"2016-10-01 11:17:00";"10";49,1953;-0,166217;49,198217;-0,170517;467;10;1;NA;"Atyaephyra desmaresti,Palemon varians";"crevettes divers";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;1;NA;"Ammodytes tobianus";"Equille";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;NA;"Barbus barbus";"Barbeau fluviatile";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;5;NA;"Engraulis encrasicolus";"Anchois";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;NA;"Anguilla";"Anguilles nca";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;35;53;"Sprattus sprattus";"Sprat";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;NA;"Pseudorasbora parva";"Pseudorasbora";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;41;27;"Pomatoschistus microps";"Gobie tacheté";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;NA;"Dicentrarchus labrax";"Bar européen";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;9;54;"Platichthys flesus";"Flet d'Europe";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;NA;"Pomatoschistus microps";"Gobie tacheté";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;1;NA;"Pleuronectes platessa";"Plie d'Europe";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;NA;"Cottus gobio";"Chabot";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;10;31;"Dicentrarchus labrax";"Bar européen";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;2;NA;"Leuciscus leuciscus";"Vandoise";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;4;75;"Scophthalmus rhombus";"Barbue";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;14;45;"Platichthys flesus";"Flet d'Europe";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;1;NA;"Echiichthys vipera";"Petite vive";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;265;"Scardinius erythrophthalmus";"Rotengle";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;33;125;"Atherina presbyter";"Prêtre";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;37;460;"Rutilus rutilus";"Gardon";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;1;NA;"Chelidonichthys lucernus";"Grondin perlon";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;9;165;"Abramis brama";"Brème d'eau douce";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;2;NA;"Syngnathus acus";"Syngnathe aiguille";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;2;NA;"Atyaephyra desmaresti,Palemon varians";"crevettes divers";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;33;1000;"Carcinus maenas";"Crabe vert";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11896;"DCE";2;"2016-10-01 12:13:00";"12";49,193517;-0,1631;49,18925;-0,164167;500;12;1;NA;"Orconectes limosus";"Ecrevisse américaine";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;3;NA;"Palaemon serratus";"Bouquet commun";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11897;"DCE";2;"2016-10-01 12:42:00";"13";49,198167;-0,170433;49,19525;-0,166183;470;10;11;290;"Rutilus rutilus";"Gardon";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;295;150;"Crangon crangon";"Crevette grise";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11897;"DCE";2;"2016-10-01 12:42:00";"13";49,198167;-0,170433;49,19525;-0,166183;470;10;1;165;"Abramis brama";"Brème d'eau douce";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;5;NA;"Sepiola atlantica";"Sépiole grandes oreilles";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11897;"DCE";2;"2016-10-01 12:42:00";"13";49,198167;-0,170433;49,19525;-0,166183;470;10;1;NA;"Dicentrarchus labrax";"Bar européen";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11887;"DCE";2;"2016-09-30 10:18:00";"3";49,295867;-0,08935;49,300983;-0,0914;687;13;5;NA;"Pomatoschistus minutus";"Gobie buhotte";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11897;"DCE";2;"2016-10-01 12:42:00";"13";49,198167;-0,170433;49,19525;-0,166183;470;10;2;NA;"Pomatoschistus microps";"Gobie tacheté";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;3;NA;"Pomatoschistus minutus";"Gobie buhotte";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11897;"DCE";2;"2016-10-01 12:42:00";"13";49,198167;-0,170433;49,19525;-0,166183;470;10;14;50;"Platichthys flesus";"Flet d'Europe";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;5;200;"Platichthys flesus";"Flet d'Europe";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11897;"DCE";2;"2016-10-01 12:42:00";"13";49,198167;-0,170433;49,19525;-0,166183;470;10;2;NA;"Orconectes limosus";"Ecrevisse américaine";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;2;NA;"Sprattus sprattus";"Sprat";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;2;240;"Anguilla anguilla";"Anguille d'Europe";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;41;22;"Pomatoschistus microps";"Gobie tacheté";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;1;NA;"Leuciscus leuciscus";"Vandoise";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;30;140;"Dicentrarchus labrax";"Bar européen";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;2;NA;"Dicentrarchus labrax";"Bar européen";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;1;NA;"Dicentrarchus punctatus";"Bar tacheté";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;6;60;"Rutilus rutilus";"Gardon";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;284;8000;"Carcinus maenas";"Crabe vert";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;3;4;"Barbatula barbatula";"Loche franche";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;1;NA;"Sepiola atlantica";"Sépiole grandes oreilles";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;9;13;"Platichthys flesus";"Flet d'Europe";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;28;22;"Palaemon serratus";"Bouquet commun";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;1;NA;"Gasterosteus aculeatus";"Epinoche à trois épines";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11888;"DCE";2;"2016-09-30 10:46:00";"4";49,295917;-0,101667;49,296717;-0,09295;666;12;120;36;"Crangon crangon";"Crevette grise";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;1;NA;"Pungitius pungitius";"Epinochette";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11889;"DCE";2;"2016-09-30 11:09:00";"5";49,296733;-0,09825;49,295767;-0,09185;492;10;1;NA;"Platichthys flesus";"Flet d'Europe";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;44;120;"Abramis brama";"Brème d'eau douce";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
11889;"DCE";2;"2016-09-30 11:09:00";"5";49,296733;-0,09825;49,295767;-0,09185;492;10;8;26;"Dicentrarchus labrax";"Bar européen";"petit chalut a perche";"Dives";3;"Estuaire de la DIves"
11898;"DCE";2;"2016-10-01 13:14:00";"14";49,188483;-0,16375;49,184483;-0,164283;470;10;1;NA;"Orconectes limosus";"Ecrevisse américaine";"petit chalut a perche";"Dives";1;"Estuaire de la DIves"
