Species;Ref_FW
Lampetra fluviatilis;1
Petromyzon marinus;1
Anguilla anguilla;1
Alosa fallax;1
Abramis brama;1
Blicca bjoerkna;1
Carassius carassius;1
Leuciscus idus;1
Rhodeus amarus;1
Rutilus rutilus;1
Scardinius erythrophtalmus;1
Misgurnus fossilis;1
Silurus glanis;1
Esox lucius;1
Osmerus eperlanus;1
Salmo trutta;1
Gasterosteus aculeatus;1
Pungitius pungitius;1
Gymnocephalus cernua;1
Perca fluviatilis;1
Sander lucioperca;1
Chelon ramada;1
Platichtys flesus;1
Salmo trutta fario;1
Alburnus alburnus;1
Leucaspius delineatus;1
Pomatoschistus microps;1
