Species;Ref_poly
Acipenser sturio;1
Agonus cataphractus;1
Alosa alosa;1
Alosa fallax;1
Ammodytes tobianus;1
Anguilla anguilla;1
Belone belone;1
Chelidonichthys lucernus;1
Chelon labrosus;1
Ciliata mustela;1
Clupea harengus;1
Coregonus oxyrhynchus;1
Cyclopterus lumpus;1
Dasyatis pastinaca;1
Dicentrarchus labrax;1
Engraulis encrasicolus;1
Gadus morhua;1
Gasterosteus aculeatus;1
Glyptocephalus cynoglossus;NA
Gymnocephalus cernuus;1
Hippoglossus hippoglossus;NA
Lampetra fluviatilis;1
Limanda limanda;1
Liparis liparis;1
Liza ramado;1
Lota lota;NA
Merlangius merlangus;1
Myoxocephalus scorpius;1
Osmerus eperlanus;1
Petromyzon marinus;1
Pholis gunnellus;1
Platichthys flesus;1
Pleuronectes platessa;1
Pomatoschistus microps;1
Pomatoschistus minutus;1
Psetta maxima;1
Salmo salar;1
Salmo trutta;1
Scophthalmus rhombus;1
Scyliorhinus stellaris;NA
Solea solea;1
Sprattus sprattus;1
Syngnathus acus;1
Syngnathus rostellatus;1
Trigloporus lastoviza;NA
Trisopterus luscus;1
Xiphias gladius;NA
Zoarces viviparus;1
