Species;ManSha_FW;MpiInv_FW;MpiSpa_FW;MnsPis_FW;MnsTot_mesopoly;MpiMj_mesopoly;MpiOmn_mesopoly;MpiPis_mesopoly;Ref_poly;Ref_meso;Ref_FW
Abramis brama;1;0;0;0;1;0;1;0;0;0;1
Acipenser baerii;1;0;0;0;1;0;0;0;0;0;0
Acipenser ruthenus;1;0;0;0;1;0;0;0;0;0;0
Acipenser sturio;1;0;0;0;1;0;0;0;1;0;0
Agonus cataphractus;1;0;0;0;1;0;0;0;1;0;0
Alburnoides bipunctatus;1;0;0;0;1;0;0;0;0;0;0
Alburnus alburnus;1;1;0;0;1;0;0;0;0;0;1
Alosa alosa;1;0;0;0;1;0;0;0;1;0;0
Alosa fallax;1;0;0;0;1;0;0;0;1;1;1
Ameiurus melas;1;0;0;0;1;0;0;0;0;0;0
Ameiurus nebulosus;1;0;0;0;1;0;0;0;0;0;0
Ammodytes tobianus;1;0;0;0;1;0;0;0;1;1;0
Anguilla anguilla;1;0;0;1;1;0;1;1;1;1;1
Aphia minuta;1;0;0;0;1;0;0;0;0;1;0
Argyrosomus regius;1;0;0;0;1;0;0;0;0;0;0
Arnoglossus laterna;1;0;0;0;1;0;0;1;0;0;0
Atherina boyeri;1;0;0;0;1;1;0;0;0;0;0
Atherina presbyter;1;0;0;0;1;0;0;0;0;0;0
Balistes carolinensis;1;0;0;0;1;0;0;0;0;0;0
Ballerus sapa;1;0;0;0;1;0;0;0;0;0;0
Barbatula barbatula;1;0;0;0;1;0;0;0;0;0;0
Barbus barbus;1;0;0;0;1;0;1;0;0;0;0
Belone belone;1;0;0;0;1;0;0;1;1;0;0
Blicca bjoerkna;1;0;0;0;1;0;1;0;0;0;1
Buglossidium luteum;1;0;0;0;1;0;0;0;0;0;0
Callionymus lyra;1;0;0;0;1;0;0;0;0;0;0
Carassius carassius;1;0;0;0;1;0;1;0;0;0;1
Carassius gibelio;1;0;0;0;1;0;1;0;0;0;0
Chelidonichthys lucerna;1;0;0;0;1;1;0;0;1;1;0
Chelon labrosus;1;0;0;0;1;0;0;0;1;0;0
Chelon ramada;1;1;0;0;1;0;1;0;1;1;1
Chondrostoma nasus;1;0;0;0;1;0;1;0;0;0;0
Ciliata mustela;1;0;0;0;1;0;0;0;1;1;0
Ciliata septentrionalis;1;0;0;0;1;0;0;0;0;0;0
Clarias gariepinus;1;0;0;0;1;0;0;0;0;0;0
Clupea harengus;1;0;0;0;1;1;0;0;1;1;0
Cobitis taenia;1;0;0;0;1;0;0;0;0;0;0
Conger conger;1;0;0;0;1;0;0;1;0;0;0
Coregonus albula;1;0;0;0;1;0;0;0;0;0;0
Coregonus lavaretus;1;0;0;0;1;0;0;0;0;0;0
Coregonus oxyrhynchus;1;0;0;0;1;0;0;0;1;0;0
Cottus gobio;1;0;0;0;1;0;0;0;0;0;0
Cottus perifretum;1;0;0;0;1;0;0;0;0;0;0
Crystallogobius linearis;1;0;0;0;1;0;0;0;0;0;0
Ctenolabrus rupestris;1;0;0;0;1;0;0;0;0;0;0
Ctenopharyngodon idella;1;0;0;0;1;0;0;0;0;0;0
Cyclopterus lumpus;1;0;0;0;1;0;0;0;1;0;0
Cyprinus carpio;1;0;0;0;1;0;1;0;0;0;0
Dasyatis pastinaca;1;0;0;0;1;0;0;0;1;0;0
Dicentrarchus labrax;1;0;0;0;1;1;0;1;1;1;0
Echiichthys vipera;1;0;0;0;1;0;1;0;0;0;0
Engraulis encrasicolus;1;0;0;0;1;0;0;0;1;0;0
